Description: This is a version of the input file 'infimm1.txt'`used with the
             TB`IBM.`It specifies the probabilities of various disease states
             for migrants upon entry to the UK.`This version is ARImed,`
             and was constructed using the ARI`method for 'infimm',`using
             mid-value ARIs`for ONUK,`UK,`and SSA-born.
             for UK-born.
Label a:     Age in years
Label s:`    Sex, 0=male, 1=female
Label r:`    Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:`    Array index for year (0=1981)
Label q:`    Disease state, cumlative`probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |y  |q0 |q1          |q2          |q3          |q4          |q5          |q6          |q7          |q8
| 79 |0 |0 | 0 | 0 |0.04889872  |0.04889872  |0.050272386 |0.965537505 |0.994146732 |0.994467537 |0.996348627 | 1
| 80 |0 |0 | 0 | 0 |0.042669889 |0.042669889 |0.043868435 |0.965341961 |0.994146732 |0.994426812 |0.996321606 | 1
| 81 |0 |0 | 0 | 0 |0.037068149 |0.037068149 |0.038109239 |0.965166125 |0.994146732 |0.994390152 |0.996297283 | 1
| 82 |0 |0 | 0 | 0 |0.032102535 |0.032102535 |0.033004078 |0.965010276 |0.994146732 |0.994357627 |0.996275703 | 1
| 83 |0 |0 | 0 | 0 |0.02771438  |0.02771438  |0.028492626 |0.964872565 |0.994146732 |0.994328864 |0.996256618 | 1
| 84 |0 |0 | 0 | 0 |0.023848768 |0.023848768 |0.024518415 |0.964751264 |0.994146732 |0.994303509 |0.996239796 | 1
| 85 |0 |0 | 0 | 0 |0.020454475 |0.020454475 |0.021028777 |0.964644761 |0.994146732 |0.994281232 |0.996225015 | 1
| 86 |0 |0 | 0 | 0 |0.017483889 |0.017483889 |0.017974759 |0.964551559 |0.994146732 |0.994261726 |0.996212073 | 1
| 87 |0 |0 | 0 | 0 |0.014892921 |0.014892921 |0.015311028 |0.964470273 |0.994146732 |0.994244705 |0.99620078  | 1
| 88 |0 |0 | 0 | 0 |0.012640892 |0.012640892 |0.01299576  |0.964399624 |0.994146732 |0.994229905 |0.99619096  | 1
| 89 |0 |0 | 0 | 0 |0.010690411 |0.010690411 |0.010990512 |0.964338438 |0.994146732 |0.994217083 |0.996182453 | 1
| 90 |0 |0 | 0 | 0 |0.009007239 |0.009007239 |0.009260082 |0.964285639 |0.994146732 |0.994206014 |0.996175109 | 1
| 91 |0 |0 | 0 | 0 |0.007560149 |0.007560149 |0.007772365 |0.964240248 |0.994146732 |0.994196496 |0.996168794 | 1
| 92 |0 |0 | 0 | 0 |0.006320771 |0.006320771 |0.006498193 |0.964201373 |0.994146732 |0.994188342 |0.996163384 | 1
| 93 |0 |0 | 0 | 0 |0.005263434 |0.005263434 |0.005411174 |0.964168209 |0.994146732 |0.994181385 |0.996158767 | 1
| 94 |0 |0 | 0 | 0 |0.004365009 |0.004365009 |0.004487529 |0.96414003  |0.994146732 |0.994175472 |0.996154844 | 1
| 95 |0 |0 | 0 | 0 |0.00360474  |0.00360474  |0.003705918 |0.964116185 |0.994146732 |0.994170468 |0.996151524 | 1
| 96 |0 |0 | 0 | 0 |0.002964083 |0.002964083 |0.003047278 |0.964096091 |0.994146732 |0.99416625  |0.996148726 | 1
