Written by 'FileIO' as file 'immage1o.txt'
|y|r|s|a0|a1|a2|a3|a4|a5
|26|1|0|0.056|0.139|0.327|0.239|0.131|0.108
|26|1|1|0.058|0.257|0.216|0.203|0.112|0.149
|26|2|0|0.21|0.176|0.376|0.166|0.049|0.02
|26|2|1|0.076|0.48|0.258|0.091|0.051|0.051
|27|0|0|0.04|0.332|0.446|0.118|0.043|0.02
|27|0|1|0.05|0.395|0.343|0.139|0.044|0.028
|27|1|0|0.049|0.152|0.32|0.21|0.181|0.087
|27|1|1|0.029|0.124|0.375|0.247|0.175|0.058
|27|2|0|0.01|0.315|0.35|0.135|0.185|0.01
|27|2|1|0.035|0.478|0.288|0.093|0.093|0.018
|28|0|0|0.05|0.413|0.36|0.116|0.044|0.019
|28|0|1|0.054|0.434|0.37|0.103|0.034|0.006
|28|1|0|0.086|0.2|0.244|0.247|0.116|0.104
|28|1|1|0.118|0.154|0.288|0.193|0.193|0.059
|28|2|0|0.053|0.247|0.44|0.193|0.047|0.02
|28|2|1|0.122|0.275|0.328|0.122|0.16|0
