Dataset:     New version of inf1981.txt, altered to give SSA-born different
             probabilities for disease states (+). In the original versions, SSA-
             born and ONUK-born had the same probabilities. This is the first
             'new' version (there may be subsequent ones).
Description: This inf1981.txt file specifies the probabilities of various diseas
             for migrants upon entry to the UK.
Label a:     Age in years
Label s:     Sex, 0=male, 1=female
Label r:     Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:     Array index for year (0=1981)
Label q:     Disease state, cumlative probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |q1         |q2         |q3         |q4         |q5         |q6         |q7         |q8
| 65 |0 |0 |0.18261211 |0.18261211 |0.18836368 |0.97407407 |0.99933639 |0.99946782 |0.99965803 |1.
| 66 |0 |0 |0.16846082 |0.16846082 |0.1737666  |0.9736115  |0.99933639 |0.99945772 |0.9996515  |1.
| 67 |0 |0 |0.1548766  |0.1548766  |0.15975445 |0.97316748 |0.99933639 |0.99944802 |0.99964523 |1.
| 68 |0 |0 |0.14188117 |0.14188117 |0.14634965 |0.97274271 |0.99933639 |0.99943872 |0.99963922 |1.
| 69 |0 |0 |0.12949324 |0.12949324 |0.13357151 |0.97233781 |0.99933639 |0.99942985 |0.99963348 |1.
| 70 |0 |0 |0.1177283  |0.1177283  |0.12143599 |0.97195328 |0.99933639 |0.99942141 |0.99962802 |1.
| 71 |0 |0 |0.10659839 |0.10659839 |0.10995551 |0.97158951 |0.99933639 |0.99941342 |0.99962285 |1.
| 72 |0 |0 |0.09611192 |0.09611192 |0.09913875 |0.97124677 |0.99933639 |0.99940588 |0.99961798 |1.
| 73 |0 |0 |0.08627354 |0.08627354 |0.08899051 |0.97092522 |0.99933639 |0.9993988  |0.9996134  |1.
| 74 |0 |0 |0.07708407 |0.07708407 |0.0795116  |0.97062489 |0.99933639 |0.99939218 |0.99960912 |1.
| 75 |0 |0 |0.0685404  |0.0685404  |0.07069886 |0.97034566 |0.99933639 |0.99938602 |0.99960514 |1.
| 76 |0 |0 |0.06063557 |0.06063557 |0.06254507 |0.97008732 |0.99933639 |0.99938031 |0.99960145 |1.
| 77 |0 |0 |0.05335879 |0.05335879 |0.05503912 |0.9698495  |0.99933639 |0.99937506 |0.99959805 |1.
| 78 |0 |0 |0.04669559 |0.04669559 |0.04816608 |0.96963174 |0.99933639 |0.99937024 |0.99959493 |1.
| 79 |0 |0 |0.04064229 |0.04064229 |0.04192214 |0.96943392 |0.99933639 |0.99936586 |0.9995921  |1.
| 80 |0 |0 |0.03525259 |0.03525259 |0.03636271 |0.96925778 |0.99933639 |0.99936196 |0.99958958 |1.
| 81 |0 |0 |0.03048226 |0.03048226 |0.03144215 |0.96910188 |0.99933639 |0.9993585  |0.99958735 |1.
| 82 |0 |0 |0.02627329 |0.02627329 |0.02710064 |0.96896433 |0.99933639 |0.99935545 |0.99958537 |1.
| 83 |0 |0 |0.0225715  |0.0225715  |0.02328227 |0.96884336 |0.99933639 |0.99935277 |0.99958364 |1.
| 84 |0 |0 |0.01932639 |0.01932639 |0.01993497 |0.96873731 |0.99933639 |0.99935042 |0.99958212 |1.
| 85 |0 |0 |0.01649115 |0.01649115 |0.01701045 |0.96864466 |0.99933639 |0.99934836 |0.99958079 |1.
| 86 |0 |0 |0.0140225  |0.0140225  |0.01446406 |0.96856398 |0.99933639 |0.99934657 |0.99957963 |1.
| 87 |0 |0 |0.01188057 |0.01188057 |0.01225468 |0.96849399 |0.99933639 |0.99934502 |0.99957862 |1.
| 88 |0 |0 |0.0100288  |0.0100288  |0.0103446  |0.96843347 |0.99933639 |0.99934367 |0.99957776 |1.
| 89 |0 |0 |0.00843378 |0.00843378 |0.00869935 |0.96838135 |0.99933639 |0.99934251 |0.99957701 |1.
| 90 |0 |0 |0.00706507 |0.00706507 |0.00728754 |0.96833662 |0.99933639 |0.99934152 |0.99957636 |1.
| 91 |0 |0 |0.0058951  |0.0058951  |0.00608073 |0.96829839 |0.99933639 |0.99934067 |0.99957581 |1.
| 92 |0 |0 |0.00489896 |0.00489896 |0.00505322 |0.96826584 |0.99933639 |0.99933995 |0.99957535 |1.
| 93 |0 |0 |0.00405426 |0.00405426 |0.00418193 |0.96823823 |0.99933639 |0.99933933 |0.99957495 |1.
| 94 |0 |0 |0.00334095 |0.00334095 |0.00344615 |0.96821492 |0.99933639 |0.99933881 |0.99957461 |1.
| 95 |0 |0 |0.00274115 |0.00274115 |0.00282747 |0.96819532 |0.99933639 |0.99933838 |0.99957433 |1.
| 96 |0 |0 |0.002239   |0.002239   |0.0023095  |0.96817891 |0.99933639 |0.99933801 |0.9995741  |1.
| 97 |0 |0 |0.00182046 |0.00182046 |0.00187779 |0.96816523 |0.99933639 |0.99933771 |0.9995739  |1.
